task,team,user,correctItem_any
KIS Textual 15,vitrivr,vitrivr III,true
KIS Textual 17,vitrivr,vitrivr III,false
KIS Textual 18,vitrivr,vitrivr III,false
KIS Textual 19,vitrivr,vitrivr III,false
KIS Textual 2,vitrivr,vitrivr III,true
KIS Textual 20,vitrivr,vitrivr III,true
KIS Textual 21,vitrivr,vitrivr III,false
KIS Textual 22,vitrivr,vitrivr III,false
KIS Textual 23,vitrivr,vitrivr III,false
KIS Textual 24,vitrivr,vitrivr III,false
KIS Textual 25,vitrivr,vitrivr III,true
KIS Textual 3,vitrivr,vitrivr III,true
KIS Textual 4,vitrivr,vitrivr III,true
KIS Textual 5,vitrivr,vitrivr III,false
KIS Textual 6,vitrivr,vitrivr III,false
KIS Textual 8,vitrivr,vitrivr III,true
KIS Textual 9,vitrivr,vitrivr III,false
KIS Visual 1,vitrivr,vitrivr III,true
KIS Visual 11,vitrivr,vitrivr III,false
KIS Visual 12,vitrivr,vitrivr III,true
KIS Visual 13,vitrivr,vitrivr III,true
KIS Visual 15,vitrivr,vitrivr III,true
KIS Visual 17,vitrivr,vitrivr III,true
KIS Visual 18,vitrivr,vitrivr III,false
KIS Visual 19,vitrivr,vitrivr III,true
KIS Visual 2,vitrivr,vitrivr III,false
KIS Visual 20,vitrivr,vitrivr III,true
KIS Visual 21,vitrivr,vitrivr III,false
KIS Visual 22,vitrivr,vitrivr III,false
KIS Visual 23,vitrivr,vitrivr III,true
KIS Visual 24,vitrivr,vitrivr III,false
KIS Visual 25,vitrivr,vitrivr III,false
KIS Visual 3,vitrivr,vitrivr III,true
KIS Visual 4,vitrivr,vitrivr III,true
KIS Visual 5,vitrivr,vitrivr III,false
KIS Visual 6,vitrivr,vitrivr III,true
KIS Visual 8,vitrivr,vitrivr III,true
KIS Visual 9,vitrivr,vitrivr III,false
KIS Textual 1,vitrivr,vitrivr IV,true
KIS Textual 11,vitrivr,vitrivr IV,true
KIS Textual 12,vitrivr,vitrivr IV,true
KIS Textual 13,vitrivr,vitrivr IV,false
KIS Textual 15,vitrivr,vitrivr IV,false
KIS Textual 17,vitrivr,vitrivr IV,false
KIS Textual 18,vitrivr,vitrivr IV,true
KIS Textual 19,vitrivr,vitrivr IV,false
KIS Textual 2,vitrivr,vitrivr IV,true
KIS Textual 20,vitrivr,vitrivr IV,true
KIS Textual 21,vitrivr,vitrivr IV,true
KIS Textual 22,vitrivr,vitrivr IV,false
KIS Textual 23,vitrivr,vitrivr IV,false
KIS Textual 24,vitrivr,vitrivr IV,true
KIS Textual 25,vitrivr,vitrivr IV,true
KIS Textual 3,vitrivr,vitrivr IV,false
KIS Textual 4,vitrivr,vitrivr IV,true
KIS Textual 5,vitrivr,vitrivr IV,true
KIS Textual 6,vitrivr,vitrivr IV,false
KIS Textual 8,vitrivr,vitrivr IV,true
KIS Textual 9,vitrivr,vitrivr IV,false
KIS Visual 1,vitrivr,vitrivr IV,false
KIS Visual 11,vitrivr,vitrivr IV,true
KIS Visual 12,vitrivr,vitrivr IV,false
KIS Visual 13,vitrivr,vitrivr IV,true
KIS Visual 15,vitrivr,vitrivr IV,false
KIS Visual 17,vitrivr,vitrivr IV,true
KIS Visual 18,vitrivr,vitrivr IV,false
KIS Visual 19,vitrivr,vitrivr IV,true
KIS Visual 2,vitrivr,vitrivr IV,false
KIS Visual 20,vitrivr,vitrivr IV,true
KIS Visual 21,vitrivr,vitrivr IV,false
KIS Visual 22,vitrivr,vitrivr IV,false
KIS Visual 23,vitrivr,vitrivr IV,true
KIS Visual 24,vitrivr,vitrivr IV,false
KIS Visual 25,vitrivr,vitrivr IV,true
KIS Visual 3,vitrivr,vitrivr IV,true
KIS Visual 4,vitrivr,vitrivr IV,true
KIS Visual 5,vitrivr,vitrivr IV,false
KIS Visual 6,vitrivr,vitrivr IV,false
KIS Visual 8,vitrivr,vitrivr IV,false
KIS Visual 9,vitrivr,vitrivr IV,false
KIS Textual 1,vitrivr,vitrivr V,true
KIS Textual 11,vitrivr,vitrivr V,true
KIS Textual 12,vitrivr,vitrivr V,true
KIS Textual 13,vitrivr,vitrivr V,false
KIS Textual 15,vitrivr,vitrivr V,false
KIS Textual 17,vitrivr,vitrivr V,false
KIS Textual 18,vitrivr,vitrivr V,false
KIS Textual 19,vitrivr,vitrivr V,false
KIS Textual 2,vitrivr,vitrivr V,true
KIS Textual 20,vitrivr,vitrivr V,false
KIS Textual 21,vitrivr,vitrivr V,true
KIS Textual 22,vitrivr,vitrivr V,false
KIS Textual 23,vitrivr,vitrivr V,false
KIS Textual 24,vitrivr,vitrivr V,true
KIS Textual 25,vitrivr,vitrivr V,true
KIS Textual 3,vitrivr,vitrivr V,false
KIS Textual 4,vitrivr,vitrivr V,true
KIS Textual 5,vitrivr,vitrivr V,false
KIS Textual 6,vitrivr,vitrivr V,false
KIS Textual 8,vitrivr,vitrivr V,true
KIS Textual 9,vitrivr,vitrivr V,false
KIS Visual 1,vitrivr,vitrivr V,true
KIS Visual 11,vitrivr,vitrivr V,false
KIS Visual 12,vitrivr,vitrivr V,true
KIS Visual 13,vitrivr,vitrivr V,true
KIS Visual 15,vitrivr,vitrivr V,false
KIS Visual 17,vitrivr,vitrivr V,true
KIS Visual 18,vitrivr,vitrivr V,false
KIS Visual 19,vitrivr,vitrivr V,true
KIS Visual 2,vitrivr,vitrivr V,false
KIS Visual 20,vitrivr,vitrivr V,true
KIS Visual 21,vitrivr,vitrivr V,false
KIS Visual 22,vitrivr,vitrivr V,false
KIS Visual 23,vitrivr,vitrivr V,true
KIS Visual 24,vitrivr,vitrivr V,false
KIS Visual 25,vitrivr,vitrivr V,true
KIS Visual 3,vitrivr,vitrivr V,true
KIS Visual 4,vitrivr,vitrivr V,true
KIS Visual 5,vitrivr,vitrivr V,false
KIS Visual 6,vitrivr,vitrivr V,true
KIS Visual 8,vitrivr,vitrivr V,false
KIS Visual 9,vitrivr,vitrivr V,false
KIS Textual 1,vitrivr,vitrivr VI,false
KIS Textual 11,vitrivr,vitrivr VI,true
KIS Textual 12,vitrivr,vitrivr VI,true
KIS Textual 13,vitrivr,vitrivr VI,true
KIS Textual 15,vitrivr,vitrivr VI,false
KIS Textual 17,vitrivr,vitrivr VI,false
KIS Textual 18,vitrivr,vitrivr VI,true
KIS Textual 19,vitrivr,vitrivr VI,false
KIS Textual 2,vitrivr,vitrivr VI,true
KIS Textual 20,vitrivr,vitrivr VI,true
KIS Textual 21,vitrivr,vitrivr VI,true
KIS Textual 22,vitrivr,vitrivr VI,false
KIS Textual 23,vitrivr,vitrivr VI,false
KIS Textual 24,vitrivr,vitrivr VI,true
KIS Textual 25,vitrivr,vitrivr VI,true
KIS Textual 3,vitrivr,vitrivr VI,false
KIS Textual 4,vitrivr,vitrivr VI,false
KIS Textual 5,vitrivr,vitrivr VI,false
KIS Textual 6,vitrivr,vitrivr VI,false
KIS Textual 8,vitrivr,vitrivr VI,true
KIS Textual 9,vitrivr,vitrivr VI,false
KIS Visual 1,vitrivr,vitrivr VI,true
KIS Visual 11,vitrivr,vitrivr VI,true
KIS Visual 12,vitrivr,vitrivr VI,false
KIS Visual 13,vitrivr,vitrivr VI,true
KIS Visual 15,vitrivr,vitrivr VI,false
KIS Visual 17,vitrivr,vitrivr VI,true
KIS Visual 18,vitrivr,vitrivr VI,false
KIS Visual 19,vitrivr,vitrivr VI,true
KIS Visual 2,vitrivr,vitrivr VI,false
KIS Visual 20,vitrivr,vitrivr VI,false
KIS Visual 21,vitrivr,vitrivr VI,false
KIS Visual 22,vitrivr,vitrivr VI,false
KIS Visual 23,vitrivr,vitrivr VI,true
KIS Visual 24,vitrivr,vitrivr VI,false
KIS Visual 25,vitrivr,vitrivr VI,true
KIS Visual 3,vitrivr,vitrivr VI,true
KIS Visual 4,vitrivr,vitrivr VI,true
KIS Visual 5,vitrivr,vitrivr VI,false
KIS Visual 6,vitrivr,vitrivr VI,false
KIS Visual 8,vitrivr,vitrivr VI,false
KIS Visual 9,vitrivr,vitrivr VI,false
KIS Textual 1,vitrivr,vitrivr VII,true
KIS Textual 11,vitrivr,vitrivr VII,true
KIS Textual 12,vitrivr,vitrivr VII,false
KIS Textual 13,vitrivr,vitrivr VII,false
KIS Textual 15,vitrivr,vitrivr VII,false
KIS Textual 17,vitrivr,vitrivr VII,false
KIS Textual 18,vitrivr,vitrivr VII,false
KIS Textual 19,vitrivr,vitrivr VII,false
KIS Textual 2,vitrivr,vitrivr VII,true
KIS Textual 20,vitrivr,vitrivr VII,true
KIS Textual 21,vitrivr,vitrivr VII,true
KIS Textual 22,vitrivr,vitrivr VII,false
KIS Textual 23,vitrivr,vitrivr VII,false
KIS Textual 24,vitrivr,vitrivr VII,false
KIS Textual 25,vitrivr,vitrivr VII,true
KIS Textual 3,vitrivr,vitrivr VII,false
KIS Textual 4,vitrivr,vitrivr VII,false
KIS Textual 5,vitrivr,vitrivr VII,false
KIS Textual 6,vitrivr,vitrivr VII,false
KIS Textual 8,vitrivr,vitrivr VII,true
KIS Textual 9,vitrivr,vitrivr VII,false
KIS Visual 1,vitrivr,vitrivr VII,true
KIS Visual 11,vitrivr,vitrivr VII,true
KIS Visual 12,vitrivr,vitrivr VII,false
KIS Visual 13,vitrivr,vitrivr VII,true
KIS Visual 15,vitrivr,vitrivr VII,false
KIS Visual 17,vitrivr,vitrivr VII,true
KIS Visual 18,vitrivr,vitrivr VII,false
KIS Visual 19,vitrivr,vitrivr VII,true
KIS Visual 2,vitrivr,vitrivr VII,true
KIS Visual 20,vitrivr,vitrivr VII,true
KIS Visual 21,vitrivr,vitrivr VII,false
KIS Visual 22,vitrivr,vitrivr VII,false
KIS Visual 23,vitrivr,vitrivr VII,true
KIS Visual 24,vitrivr,vitrivr VII,true
KIS Visual 25,vitrivr,vitrivr VII,true
KIS Visual 3,vitrivr,vitrivr VII,true
KIS Visual 4,vitrivr,vitrivr VII,false
KIS Visual 5,vitrivr,vitrivr VII,false
KIS Visual 6,vitrivr,vitrivr VII,false
KIS Visual 8,vitrivr,vitrivr VII,false
KIS Visual 9,vitrivr,vitrivr VII,false
KIS Textual 1,vitrivr,vitrivr VIII,true
KIS Textual 11,vitrivr,vitrivr VIII,true
KIS Textual 12,vitrivr,vitrivr VIII,true
KIS Textual 13,vitrivr,vitrivr VIII,false
KIS Textual 15,vitrivr,vitrivr VIII,false
KIS Textual 17,vitrivr,vitrivr VIII,true
KIS Textual 18,vitrivr,vitrivr VIII,false
KIS Textual 19,vitrivr,vitrivr VIII,false
KIS Textual 2,vitrivr,vitrivr VIII,true
KIS Textual 20,vitrivr,vitrivr VIII,true
KIS Textual 21,vitrivr,vitrivr VIII,false
KIS Textual 22,vitrivr,vitrivr VIII,false
KIS Textual 23,vitrivr,vitrivr VIII,false
KIS Textual 24,vitrivr,vitrivr VIII,false
KIS Textual 25,vitrivr,vitrivr VIII,true
KIS Textual 3,vitrivr,vitrivr VIII,false
KIS Textual 4,vitrivr,vitrivr VIII,false
KIS Textual 5,vitrivr,vitrivr VIII,true
KIS Textual 6,vitrivr,vitrivr VIII,false
KIS Textual 8,vitrivr,vitrivr VIII,true
KIS Textual 9,vitrivr,vitrivr VIII,false
KIS Visual 1,vitrivr,vitrivr VIII,true
KIS Visual 11,vitrivr,vitrivr VIII,true
KIS Visual 12,vitrivr,vitrivr VIII,false
KIS Visual 13,vitrivr,vitrivr VIII,true
KIS Visual 15,vitrivr,vitrivr VIII,false
KIS Visual 17,vitrivr,vitrivr VIII,true
KIS Visual 18,vitrivr,vitrivr VIII,false
KIS Visual 19,vitrivr,vitrivr VIII,true
KIS Visual 2,vitrivr,vitrivr VIII,true
KIS Visual 20,vitrivr,vitrivr VIII,true
KIS Visual 21,vitrivr,vitrivr VIII,false
KIS Visual 22,vitrivr,vitrivr VIII,false
KIS Visual 23,vitrivr,vitrivr VIII,true
KIS Visual 24,vitrivr,vitrivr VIII,false
KIS Visual 25,vitrivr,vitrivr VIII,true
KIS Visual 3,vitrivr,vitrivr VIII,true
KIS Visual 4,vitrivr,vitrivr VIII,true
KIS Visual 5,vitrivr,vitrivr VIII,true
KIS Visual 6,vitrivr,vitrivr VIII,false
KIS Visual 8,vitrivr,vitrivr VIII,false
KIS Visual 9,vitrivr,vitrivr VIII,false
