task,team,correctItem_any
KIS Textual 13,SOMHunter III,false
KIS Textual 15,SOMHunter III,true
KIS Textual 17,SOMHunter III,false
KIS Textual 18,SOMHunter III,true
KIS Textual 19,SOMHunter III,false
KIS Textual 2,SOMHunter III,true
KIS Textual 20,SOMHunter III,true
KIS Textual 21,SOMHunter III,true
KIS Textual 22,SOMHunter III,true
KIS Textual 23,SOMHunter III,false
KIS Textual 24,SOMHunter III,true
KIS Textual 25,SOMHunter III,false
KIS Textual 3,SOMHunter III,true
KIS Textual 4,SOMHunter III,false
KIS Textual 5,SOMHunter III,false
KIS Textual 6,SOMHunter III,true
KIS Textual 8,SOMHunter III,true
KIS Textual 9,SOMHunter III,false
KIS Visual 1,SOMHunter III,true
KIS Visual 11,SOMHunter III,true
KIS Visual 12,SOMHunter III,false
KIS Visual 13,SOMHunter III,true
KIS Visual 15,SOMHunter III,true
KIS Visual 17,SOMHunter III,true
KIS Visual 18,SOMHunter III,false
KIS Visual 19,SOMHunter III,true
KIS Visual 2,SOMHunter III,true
KIS Visual 20,SOMHunter III,true
KIS Visual 21,SOMHunter III,true
KIS Visual 22,SOMHunter III,false
KIS Visual 23,SOMHunter III,true
KIS Visual 24,SOMHunter III,true
KIS Visual 25,SOMHunter III,true
KIS Visual 3,SOMHunter III,true
KIS Visual 4,SOMHunter III,false
KIS Visual 5,SOMHunter III,true
KIS Visual 6,SOMHunter III,true
KIS Visual 8,SOMHunter III,true
KIS Visual 9,SOMHunter III,true
KIS Textual 1,SOMHunter IV,false
KIS Textual 11,SOMHunter IV,true
KIS Textual 12,SOMHunter IV,false
KIS Textual 13,SOMHunter IV,true
KIS Textual 15,SOMHunter IV,true
KIS Textual 17,SOMHunter IV,false
KIS Textual 18,SOMHunter IV,true
KIS Textual 19,SOMHunter IV,false
KIS Textual 2,SOMHunter IV,true
KIS Textual 20,SOMHunter IV,false
KIS Textual 21,SOMHunter IV,true
KIS Textual 22,SOMHunter IV,true
KIS Textual 23,SOMHunter IV,false
KIS Textual 24,SOMHunter IV,true
KIS Textual 25,SOMHunter IV,false
KIS Textual 3,SOMHunter IV,true
KIS Textual 4,SOMHunter IV,true
KIS Textual 5,SOMHunter IV,true
KIS Textual 6,SOMHunter IV,true
KIS Textual 8,SOMHunter IV,false
KIS Textual 9,SOMHunter IV,false
KIS Visual 1,SOMHunter IV,true
KIS Visual 11,SOMHunter IV,true
KIS Visual 12,SOMHunter IV,false
KIS Visual 13,SOMHunter IV,true
KIS Visual 15,SOMHunter IV,true
KIS Visual 17,SOMHunter IV,true
KIS Visual 18,SOMHunter IV,true
KIS Visual 19,SOMHunter IV,true
KIS Visual 2,SOMHunter IV,true
KIS Visual 20,SOMHunter IV,true
KIS Visual 21,SOMHunter IV,true
KIS Visual 22,SOMHunter IV,true
KIS Visual 23,SOMHunter IV,false
KIS Visual 24,SOMHunter IV,true
KIS Visual 25,SOMHunter IV,true
KIS Visual 3,SOMHunter IV,true
KIS Visual 4,SOMHunter IV,false
KIS Visual 5,SOMHunter IV,true
KIS Visual 6,SOMHunter IV,true
KIS Visual 8,SOMHunter IV,true
KIS Visual 9,SOMHunter IV,true
KIS Textual 1,SOMHunter V,false
KIS Textual 11,SOMHunter V,true
KIS Textual 12,SOMHunter V,true
KIS Textual 13,SOMHunter V,false
KIS Textual 15,SOMHunter V,true
KIS Textual 17,SOMHunter V,false
KIS Textual 18,SOMHunter V,false
KIS Textual 19,SOMHunter V,false
KIS Textual 2,SOMHunter V,true
KIS Textual 20,SOMHunter V,false
KIS Textual 21,SOMHunter V,true
KIS Textual 22,SOMHunter V,false
KIS Textual 23,SOMHunter V,false
KIS Textual 24,SOMHunter V,false
KIS Textual 25,SOMHunter V,false
KIS Textual 3,SOMHunter V,true
KIS Textual 4,SOMHunter V,true
KIS Textual 5,SOMHunter V,false
KIS Textual 6,SOMHunter V,true
KIS Textual 8,SOMHunter V,true
KIS Textual 9,SOMHunter V,false
KIS Visual 1,SOMHunter V,true
KIS Visual 11,SOMHunter V,true
KIS Visual 12,SOMHunter V,true
KIS Visual 13,SOMHunter V,true
KIS Visual 15,SOMHunter V,true
KIS Visual 17,SOMHunter V,true
KIS Visual 18,SOMHunter V,true
KIS Visual 19,SOMHunter V,true
KIS Visual 2,SOMHunter V,true
KIS Visual 20,SOMHunter V,true
KIS Visual 21,SOMHunter V,false
KIS Visual 22,SOMHunter V,false
KIS Visual 23,SOMHunter V,false
KIS Visual 24,SOMHunter V,false
KIS Visual 25,SOMHunter V,false
KIS Visual 3,SOMHunter V,true
KIS Visual 4,SOMHunter V,false
KIS Visual 5,SOMHunter V,true
KIS Visual 6,SOMHunter V,true
KIS Visual 8,SOMHunter V,false
KIS Visual 9,SOMHunter V,false
KIS Textual 1,SOMHunter VI,true
KIS Textual 11,SOMHunter VI,true
KIS Textual 12,SOMHunter VI,true
KIS Textual 13,SOMHunter VI,false
KIS Textual 15,SOMHunter VI,true
KIS Textual 17,SOMHunter VI,false
KIS Textual 18,SOMHunter VI,true
KIS Textual 19,SOMHunter VI,true
KIS Textual 2,SOMHunter VI,true
KIS Textual 20,SOMHunter VI,true
KIS Textual 21,SOMHunter VI,true
KIS Textual 22,SOMHunter VI,false
KIS Textual 23,SOMHunter VI,false
KIS Textual 24,SOMHunter VI,true
KIS Textual 25,SOMHunter VI,false
KIS Textual 3,SOMHunter VI,true
KIS Textual 4,SOMHunter VI,true
KIS Textual 5,SOMHunter VI,false
KIS Textual 6,SOMHunter VI,true
KIS Textual 8,SOMHunter VI,true
KIS Textual 9,SOMHunter VI,true
KIS Visual 1,SOMHunter VI,true
KIS Visual 11,SOMHunter VI,true
KIS Visual 12,SOMHunter VI,false
KIS Visual 13,SOMHunter VI,true
KIS Visual 15,SOMHunter VI,true
KIS Visual 17,SOMHunter VI,true
KIS Visual 18,SOMHunter VI,false
KIS Visual 19,SOMHunter VI,true
KIS Visual 2,SOMHunter VI,true
KIS Visual 20,SOMHunter VI,true
KIS Visual 21,SOMHunter VI,false
KIS Visual 22,SOMHunter VI,true
KIS Visual 23,SOMHunter VI,false
KIS Visual 24,SOMHunter VI,true
KIS Visual 25,SOMHunter VI,true
KIS Visual 3,SOMHunter VI,true
KIS Visual 4,SOMHunter VI,false
KIS Visual 5,SOMHunter VI,true
KIS Visual 6,SOMHunter VI,false
KIS Visual 8,SOMHunter VI,false
KIS Visual 9,SOMHunter VI,false
KIS Textual 1,SOMHunter VII,true
KIS Textual 11,SOMHunter VII,true
KIS Textual 12,SOMHunter VII,true
KIS Textual 13,SOMHunter VII,true
KIS Textual 15,SOMHunter VII,true
KIS Textual 17,SOMHunter VII,true
KIS Textual 18,SOMHunter VII,true
KIS Textual 19,SOMHunter VII,true
KIS Textual 2,SOMHunter VII,true
KIS Textual 20,SOMHunter VII,false
KIS Textual 21,SOMHunter VII,true
KIS Textual 22,SOMHunter VII,false
KIS Textual 23,SOMHunter VII,true
KIS Textual 24,SOMHunter VII,true
KIS Textual 25,SOMHunter VII,false
KIS Textual 3,SOMHunter VII,true
KIS Textual 4,SOMHunter VII,true
KIS Textual 5,SOMHunter VII,true
KIS Textual 6,SOMHunter VII,false
KIS Textual 8,SOMHunter VII,false
KIS Textual 9,SOMHunter VII,false
KIS Visual 1,SOMHunter VII,true
KIS Visual 11,SOMHunter VII,true
KIS Visual 12,SOMHunter VII,false
KIS Visual 13,SOMHunter VII,true
KIS Visual 15,SOMHunter VII,false
KIS Visual 17,SOMHunter VII,true
KIS Visual 18,SOMHunter VII,true
KIS Visual 19,SOMHunter VII,true
KIS Visual 2,SOMHunter VII,false
KIS Visual 20,SOMHunter VII,true
KIS Visual 21,SOMHunter VII,false
KIS Visual 22,SOMHunter VII,true
KIS Visual 23,SOMHunter VII,true
KIS Visual 24,SOMHunter VII,true
KIS Visual 25,SOMHunter VII,true
KIS Visual 3,SOMHunter VII,false
KIS Visual 4,SOMHunter VII,false
KIS Visual 5,SOMHunter VII,true
KIS Visual 6,SOMHunter VII,false
KIS Visual 8,SOMHunter VII,false
KIS Visual 9,SOMHunter VII,false
KIS Textual 1,vitrivr I,true
KIS Textual 11,vitrivr I,true
KIS Textual 12,vitrivr I,true
KIS Textual 13,vitrivr I,false
KIS Textual 15,vitrivr I,false
KIS Textual 17,vitrivr I,true
KIS Textual 18,vitrivr I,true
KIS Textual 19,vitrivr I,false
KIS Textual 2,vitrivr I,true
KIS Textual 20,vitrivr I,false
KIS Textual 21,vitrivr I,true
KIS Textual 22,vitrivr I,false
KIS Textual 23,vitrivr I,false
KIS Textual 24,vitrivr I,true
KIS Textual 25,vitrivr I,true
KIS Textual 3,vitrivr I,false
KIS Textual 4,vitrivr I,false
KIS Textual 5,vitrivr I,false
KIS Textual 6,vitrivr I,false
KIS Textual 8,vitrivr I,true
KIS Textual 9,vitrivr I,false
KIS Visual 1,vitrivr I,true
KIS Visual 11,vitrivr I,false
KIS Visual 12,vitrivr I,false
KIS Visual 13,vitrivr I,true
KIS Visual 15,vitrivr I,false
KIS Visual 17,vitrivr I,true
KIS Visual 18,vitrivr I,false
KIS Visual 19,vitrivr I,true
KIS Visual 2,vitrivr I,true
KIS Visual 20,vitrivr I,true
KIS Visual 21,vitrivr I,false
KIS Visual 22,vitrivr I,false
KIS Visual 23,vitrivr I,true
KIS Visual 24,vitrivr I,false
KIS Visual 25,vitrivr I,true
KIS Visual 3,vitrivr I,true
KIS Visual 4,vitrivr I,true
KIS Visual 5,vitrivr I,false
KIS Visual 6,vitrivr I,true
KIS Visual 8,vitrivr I,true
KIS Visual 9,vitrivr I,false
KIS Textual 1,vitrivr II,false
KIS Textual 11,vitrivr II,true
KIS Textual 12,vitrivr II,true
KIS Textual 13,vitrivr II,false
KIS Textual 15,vitrivr II,true
KIS Textual 17,vitrivr II,true
KIS Textual 18,vitrivr II,true
KIS Textual 19,vitrivr II,false
KIS Textual 2,vitrivr II,true
KIS Textual 20,vitrivr II,true
KIS Textual 21,vitrivr II,true
KIS Textual 22,vitrivr II,false
KIS Textual 23,vitrivr II,false
KIS Textual 24,vitrivr II,true
KIS Textual 25,vitrivr II,true
KIS Textual 3,vitrivr II,false
KIS Textual 4,vitrivr II,true
KIS Textual 5,vitrivr II,true
KIS Textual 6,vitrivr II,true
KIS Textual 8,vitrivr II,true
KIS Textual 9,vitrivr II,false
KIS Visual 1,vitrivr II,true
KIS Visual 11,vitrivr II,true
KIS Visual 12,vitrivr II,false
KIS Visual 13,vitrivr II,true
KIS Visual 15,vitrivr II,true
KIS Visual 17,vitrivr II,true
KIS Visual 18,vitrivr II,false
KIS Visual 19,vitrivr II,true
KIS Visual 2,vitrivr II,false
KIS Visual 20,vitrivr II,true
KIS Visual 21,vitrivr II,false
KIS Visual 22,vitrivr II,false
KIS Visual 23,vitrivr II,true
KIS Visual 24,vitrivr II,false
KIS Visual 25,vitrivr II,true
KIS Visual 3,vitrivr II,true
KIS Visual 4,vitrivr II,true
KIS Visual 5,vitrivr II,false
KIS Visual 6,vitrivr II,true
KIS Visual 8,vitrivr II,true
KIS Visual 9,vitrivr II,false
KIS Textual 1,vitrivr III,true
KIS Textual 11,vitrivr III,true
KIS Textual 12,vitrivr III,true
KIS Textual 13,vitrivr III,false
KIS Textual 15,vitrivr III,true
KIS Textual 17,vitrivr III,false
KIS Textual 18,vitrivr III,false
KIS Textual 19,vitrivr III,false
KIS Textual 2,vitrivr III,true
KIS Textual 20,vitrivr III,true
KIS Textual 21,vitrivr III,false
KIS Textual 22,vitrivr III,false
KIS Textual 23,vitrivr III,false
KIS Textual 24,vitrivr III,false
KIS Textual 25,vitrivr III,true
KIS Textual 3,vitrivr III,true
KIS Textual 4,vitrivr III,true
KIS Textual 5,vitrivr III,false
KIS Textual 6,vitrivr III,false
KIS Textual 8,vitrivr III,true
KIS Textual 9,vitrivr III,false
KIS Visual 1,vitrivr III,true
KIS Visual 11,vitrivr III,false
KIS Visual 12,vitrivr III,true
KIS Visual 13,vitrivr III,true
KIS Visual 15,vitrivr III,true
KIS Visual 17,vitrivr III,true
KIS Visual 18,vitrivr III,false
KIS Visual 19,vitrivr III,true
KIS Visual 2,vitrivr III,false
KIS Visual 20,vitrivr III,true
KIS Visual 21,vitrivr III,false
KIS Visual 22,vitrivr III,false
KIS Visual 23,vitrivr III,true
KIS Visual 24,vitrivr III,false
KIS Visual 25,vitrivr III,false
KIS Visual 3,vitrivr III,true
KIS Visual 4,vitrivr III,true
KIS Visual 5,vitrivr III,false
KIS Visual 6,vitrivr III,true
KIS Visual 8,vitrivr III,true
KIS Visual 9,vitrivr III,false
KIS Textual 1,vitrivr IV,true
KIS Textual 11,vitrivr IV,true
KIS Textual 12,vitrivr IV,true
KIS Textual 13,vitrivr IV,false
KIS Textual 15,vitrivr IV,false
KIS Textual 17,vitrivr IV,false
KIS Textual 18,vitrivr IV,true
KIS Textual 19,vitrivr IV,false
KIS Textual 2,vitrivr IV,true
KIS Textual 20,vitrivr IV,true
KIS Textual 21,vitrivr IV,true
KIS Textual 22,vitrivr IV,false
KIS Textual 23,vitrivr IV,false
KIS Textual 24,vitrivr IV,true
KIS Textual 25,vitrivr IV,true
KIS Textual 3,vitrivr IV,false
KIS Textual 4,vitrivr IV,true
KIS Textual 5,vitrivr IV,true
KIS Textual 6,vitrivr IV,false
KIS Textual 8,vitrivr IV,true
KIS Textual 9,vitrivr IV,false
KIS Visual 1,vitrivr IV,false
KIS Visual 11,vitrivr IV,true
KIS Visual 12,vitrivr IV,false
KIS Visual 13,vitrivr IV,true
KIS Visual 15,vitrivr IV,false
KIS Visual 17,vitrivr IV,true
KIS Visual 18,vitrivr IV,false
KIS Visual 19,vitrivr IV,true
KIS Visual 2,vitrivr IV,false
KIS Visual 20,vitrivr IV,true
KIS Visual 21,vitrivr IV,false
KIS Visual 22,vitrivr IV,false
KIS Visual 23,vitrivr IV,true
KIS Visual 24,vitrivr IV,false
KIS Visual 25,vitrivr IV,true
KIS Visual 3,vitrivr IV,true
KIS Visual 4,vitrivr IV,true
KIS Visual 5,vitrivr IV,false
KIS Visual 6,vitrivr IV,false
KIS Visual 8,vitrivr IV,false
KIS Visual 9,vitrivr IV,false
KIS Textual 1,vitrivr V,true
KIS Textual 11,vitrivr V,true
KIS Textual 12,vitrivr V,true
KIS Textual 13,vitrivr V,false
KIS Textual 15,vitrivr V,false
KIS Textual 17,vitrivr V,false
KIS Textual 18,vitrivr V,false
KIS Textual 19,vitrivr V,false
KIS Textual 2,vitrivr V,true
KIS Textual 20,vitrivr V,false
KIS Textual 21,vitrivr V,true
KIS Textual 22,vitrivr V,false
KIS Textual 23,vitrivr V,false
KIS Textual 24,vitrivr V,true
KIS Textual 25,vitrivr V,true
KIS Textual 3,vitrivr V,false
KIS Textual 4,vitrivr V,true
KIS Textual 5,vitrivr V,false
KIS Textual 6,vitrivr V,false
KIS Textual 8,vitrivr V,true
KIS Textual 9,vitrivr V,false
KIS Visual 1,vitrivr V,true
KIS Visual 11,vitrivr V,false
KIS Visual 12,vitrivr V,true
KIS Visual 13,vitrivr V,true
KIS Visual 15,vitrivr V,false
KIS Visual 17,vitrivr V,true
KIS Visual 18,vitrivr V,false
KIS Visual 19,vitrivr V,true
KIS Visual 2,vitrivr V,false
KIS Visual 20,vitrivr V,true
KIS Visual 21,vitrivr V,false
KIS Visual 22,vitrivr V,false
KIS Visual 23,vitrivr V,true
KIS Visual 24,vitrivr V,false
KIS Visual 25,vitrivr V,true
KIS Visual 3,vitrivr V,true
KIS Visual 4,vitrivr V,true
KIS Visual 5,vitrivr V,false
KIS Visual 6,vitrivr V,true
KIS Visual 8,vitrivr V,false
KIS Visual 9,vitrivr V,false
KIS Textual 1,vitrivr VI,false
KIS Textual 11,vitrivr VI,true
KIS Textual 12,vitrivr VI,true
KIS Textual 13,vitrivr VI,true
KIS Textual 15,vitrivr VI,false
KIS Textual 17,vitrivr VI,false
KIS Textual 18,vitrivr VI,true
KIS Textual 19,vitrivr VI,false
KIS Textual 2,vitrivr VI,true
KIS Textual 20,vitrivr VI,true
KIS Textual 21,vitrivr VI,true
KIS Textual 22,vitrivr VI,false
KIS Textual 23,vitrivr VI,false
KIS Textual 24,vitrivr VI,true
KIS Textual 25,vitrivr VI,true
KIS Textual 3,vitrivr VI,false
KIS Textual 4,vitrivr VI,false
KIS Textual 5,vitrivr VI,false
KIS Textual 6,vitrivr VI,false
KIS Textual 8,vitrivr VI,true
KIS Textual 9,vitrivr VI,false
KIS Visual 1,vitrivr VI,true
KIS Visual 11,vitrivr VI,true
KIS Visual 12,vitrivr VI,false
KIS Visual 13,vitrivr VI,true
KIS Visual 15,vitrivr VI,false
KIS Visual 17,vitrivr VI,true
KIS Visual 18,vitrivr VI,false
KIS Visual 19,vitrivr VI,true
KIS Visual 2,vitrivr VI,false
KIS Visual 20,vitrivr VI,false
KIS Visual 21,vitrivr VI,false
KIS Visual 22,vitrivr VI,false
KIS Visual 23,vitrivr VI,true
KIS Visual 24,vitrivr VI,false
KIS Visual 25,vitrivr VI,true
KIS Visual 3,vitrivr VI,true
KIS Visual 4,vitrivr VI,true
KIS Visual 5,vitrivr VI,false
KIS Visual 6,vitrivr VI,false
KIS Visual 8,vitrivr VI,false
KIS Visual 9,vitrivr VI,false
KIS Textual 1,vitrivr VII,true
KIS Textual 11,vitrivr VII,true
KIS Textual 12,vitrivr VII,false
KIS Textual 13,vitrivr VII,false
KIS Textual 15,vitrivr VII,false
KIS Textual 17,vitrivr VII,false
KIS Textual 18,vitrivr VII,false
KIS Textual 19,vitrivr VII,false
KIS Textual 2,vitrivr VII,true
KIS Textual 20,vitrivr VII,true
KIS Textual 21,vitrivr VII,true
KIS Textual 22,vitrivr VII,false
KIS Textual 23,vitrivr VII,false
KIS Textual 24,vitrivr VII,false
KIS Textual 25,vitrivr VII,true
KIS Textual 3,vitrivr VII,false
KIS Textual 4,vitrivr VII,false
KIS Textual 5,vitrivr VII,false
KIS Textual 6,vitrivr VII,false
KIS Textual 8,vitrivr VII,true
KIS Textual 9,vitrivr VII,false
KIS Visual 1,vitrivr VII,true
KIS Visual 11,vitrivr VII,true
KIS Visual 12,vitrivr VII,false
KIS Visual 13,vitrivr VII,true
KIS Visual 15,vitrivr VII,false
KIS Visual 17,vitrivr VII,true
KIS Visual 18,vitrivr VII,false
KIS Visual 19,vitrivr VII,true
KIS Visual 2,vitrivr VII,true
KIS Visual 20,vitrivr VII,true
KIS Visual 21,vitrivr VII,false
KIS Visual 22,vitrivr VII,false
KIS Visual 23,vitrivr VII,true
KIS Visual 24,vitrivr VII,true
KIS Visual 25,vitrivr VII,true
KIS Visual 3,vitrivr VII,true
KIS Visual 4,vitrivr VII,false
KIS Visual 5,vitrivr VII,false
KIS Visual 6,vitrivr VII,false
KIS Visual 8,vitrivr VII,false
KIS Visual 9,vitrivr VII,false
KIS Textual 1,vitrivr VIII,true
KIS Textual 11,vitrivr VIII,true
KIS Textual 12,vitrivr VIII,true
KIS Textual 13,vitrivr VIII,false
KIS Textual 15,vitrivr VIII,false
KIS Textual 17,vitrivr VIII,true
KIS Textual 18,vitrivr VIII,false
KIS Textual 19,vitrivr VIII,false
KIS Textual 2,vitrivr VIII,true
KIS Textual 20,vitrivr VIII,true
KIS Textual 21,vitrivr VIII,false
KIS Textual 22,vitrivr VIII,false
KIS Textual 23,vitrivr VIII,false
KIS Textual 24,vitrivr VIII,false
KIS Textual 25,vitrivr VIII,true
KIS Textual 3,vitrivr VIII,false
KIS Textual 4,vitrivr VIII,false
KIS Textual 5,vitrivr VIII,true
KIS Textual 6,vitrivr VIII,false
KIS Textual 8,vitrivr VIII,true
KIS Textual 9,vitrivr VIII,false
KIS Visual 1,vitrivr VIII,true
KIS Visual 11,vitrivr VIII,true
KIS Visual 12,vitrivr VIII,false
KIS Visual 13,vitrivr VIII,true
KIS Visual 15,vitrivr VIII,false
KIS Visual 17,vitrivr VIII,true
KIS Visual 18,vitrivr VIII,false
KIS Visual 19,vitrivr VIII,true
KIS Visual 2,vitrivr VIII,true
KIS Visual 20,vitrivr VIII,true
KIS Visual 21,vitrivr VIII,false
KIS Visual 22,vitrivr VIII,false
KIS Visual 23,vitrivr VIII,true
KIS Visual 24,vitrivr VIII,false
KIS Visual 25,vitrivr VIII,true
KIS Visual 3,vitrivr VIII,true
KIS Visual 4,vitrivr VIII,true
KIS Visual 5,vitrivr VIII,true
KIS Visual 6,vitrivr VIII,false
KIS Visual 8,vitrivr VIII,false
KIS Visual 9,vitrivr VIII,false
