task,team_a,team_b,score
KIS Visual 1,vitrivr I,vitrivr II,95
KIS Visual 1,vitrivr I,vitrivr III,94
KIS Visual 1,vitrivr I,vitrivr IV,94
KIS Visual 1,vitrivr I,vitrivr V,94
KIS Visual 1,vitrivr I,vitrivr VI,94
KIS Visual 1,vitrivr I,vitrivr VII,94
KIS Visual 1,vitrivr I,vitrivr VIII,94
KIS Visual 1,vitrivr II,vitrivr III,95
KIS Visual 1,vitrivr II,vitrivr IV,95
KIS Visual 1,vitrivr II,vitrivr V,95
KIS Visual 1,vitrivr II,vitrivr VI,95
KIS Visual 1,vitrivr II,vitrivr VII,95
KIS Visual 1,vitrivr II,vitrivr VIII,95
KIS Visual 1,vitrivr III,vitrivr IV,66
KIS Visual 1,vitrivr III,vitrivr V,93
KIS Visual 1,vitrivr III,vitrivr VI,94
KIS Visual 1,vitrivr III,vitrivr VII,66
KIS Visual 1,vitrivr III,vitrivr VIII,66
KIS Visual 1,vitrivr IV,vitrivr V,93
KIS Visual 1,vitrivr IV,vitrivr VI,94
KIS Visual 1,vitrivr IV,vitrivr VII,68
KIS Visual 1,vitrivr IV,vitrivr VIII,83
KIS Visual 1,vitrivr V,vitrivr VI,94
KIS Visual 1,vitrivr V,vitrivr VII,93
KIS Visual 1,vitrivr V,vitrivr VIII,93
KIS Visual 1,vitrivr VI,vitrivr VII,94
KIS Visual 1,vitrivr VI,vitrivr VIII,94
KIS Visual 1,vitrivr VII,vitrivr VIII,83
KIS Textual 1,siret I,siret II,94
KIS Textual 1,siret I,siret III,94
KIS Textual 1,siret I,siret IV,94
KIS Textual 1,siret I,siret V,94
KIS Textual 1,siret I,siret VI,94
KIS Textual 1,siret I,siret VII,94
KIS Textual 1,siret I,vitrivr I,94
KIS Textual 1,siret I,vitrivr II,94
KIS Textual 1,siret I,vitrivr III,94
KIS Textual 1,siret I,vitrivr IV,94
KIS Textual 1,siret I,vitrivr V,94
KIS Textual 1,siret I,vitrivr VI,94
KIS Textual 1,siret I,vitrivr VII,94
KIS Textual 1,siret I,vitrivr VIII,94
KIS Textual 1,siret II,siret III,70
KIS Textual 1,siret II,siret IV,70
KIS Textual 1,siret II,siret V,50
KIS Textual 1,siret II,siret VI,70
KIS Textual 1,siret II,siret VII,60
KIS Textual 1,siret II,vitrivr I,70
KIS Textual 1,siret II,vitrivr II,70
KIS Textual 1,siret II,vitrivr III,70
KIS Textual 1,siret II,vitrivr IV,94
KIS Textual 1,siret II,vitrivr V,70
KIS Textual 1,siret II,vitrivr VI,70
KIS Textual 1,siret II,vitrivr VII,71
KIS Textual 1,siret II,vitrivr VIII,70
KIS Textual 1,siret III,siret IV,0
KIS Textual 1,siret III,siret V,0
KIS Textual 1,siret III,siret VI,0
KIS Textual 1,siret III,siret VII,22
KIS Textual 1,siret III,vitrivr I,0
KIS Textual 1,siret III,vitrivr II,0
KIS Textual 1,siret III,vitrivr III,64
KIS Textual 1,siret III,vitrivr IV,94
KIS Textual 1,siret III,vitrivr V,60
KIS Textual 1,siret III,vitrivr VI,0
KIS Textual 1,siret III,vitrivr VII,81
KIS Textual 1,siret III,vitrivr VIII,26
KIS Textual 1,siret IV,siret V,0
KIS Textual 1,siret IV,siret VI,0
KIS Textual 1,siret IV,siret VII,32
KIS Textual 1,siret IV,vitrivr I,0
KIS Textual 1,siret IV,vitrivr II,0
KIS Textual 1,siret IV,vitrivr III,64
KIS Textual 1,siret IV,vitrivr IV,94
KIS Textual 1,siret IV,vitrivr V,60
KIS Textual 1,siret IV,vitrivr VI,0
KIS Textual 1,siret IV,vitrivr VII,81
KIS Textual 1,siret IV,vitrivr VIII,36
KIS Textual 1,siret V,siret VI,0
KIS Textual 1,siret V,siret VII,0
KIS Textual 1,siret V,vitrivr I,0
KIS Textual 1,siret V,vitrivr II,0
KIS Textual 1,siret V,vitrivr III,44
KIS Textual 1,siret V,vitrivr IV,94
KIS Textual 1,siret V,vitrivr V,40
KIS Textual 1,siret V,vitrivr VI,0
KIS Textual 1,siret V,vitrivr VII,61
KIS Textual 1,siret V,vitrivr VIII,16
KIS Textual 1,siret VI,siret VII,2
KIS Textual 1,siret VI,vitrivr I,0
KIS Textual 1,siret VI,vitrivr II,0
KIS Textual 1,siret VI,vitrivr III,64
KIS Textual 1,siret VI,vitrivr IV,94
KIS Textual 1,siret VI,vitrivr V,60
KIS Textual 1,siret VI,vitrivr VI,0
KIS Textual 1,siret VI,vitrivr VII,81
KIS Textual 1,siret VI,vitrivr VIII,36
KIS Textual 1,siret VII,vitrivr I,2
KIS Textual 1,siret VII,vitrivr II,12
KIS Textual 1,siret VII,vitrivr III,54
KIS Textual 1,siret VII,vitrivr IV,94
KIS Textual 1,siret VII,vitrivr V,50
KIS Textual 1,siret VII,vitrivr VI,22
KIS Textual 1,siret VII,vitrivr VII,71
KIS Textual 1,siret VII,vitrivr VIII,26
KIS Textual 1,vitrivr I,vitrivr II,0
KIS Textual 1,vitrivr I,vitrivr III,64
KIS Textual 1,vitrivr I,vitrivr IV,94
KIS Textual 1,vitrivr I,vitrivr V,60
KIS Textual 1,vitrivr I,vitrivr VI,0
KIS Textual 1,vitrivr I,vitrivr VII,81
KIS Textual 1,vitrivr I,vitrivr VIII,36
KIS Textual 1,vitrivr II,vitrivr III,64
KIS Textual 1,vitrivr II,vitrivr IV,94
KIS Textual 1,vitrivr II,vitrivr V,60
KIS Textual 1,vitrivr II,vitrivr VI,0
KIS Textual 1,vitrivr II,vitrivr VII,81
KIS Textual 1,vitrivr II,vitrivr VIII,16
KIS Textual 1,vitrivr III,vitrivr IV,94
KIS Textual 1,vitrivr III,vitrivr V,64
KIS Textual 1,vitrivr III,vitrivr VI,64
KIS Textual 1,vitrivr III,vitrivr VII,81
KIS Textual 1,vitrivr III,vitrivr VIII,64
KIS Textual 1,vitrivr IV,vitrivr V,94
KIS Textual 1,vitrivr IV,vitrivr VI,94
KIS Textual 1,vitrivr IV,vitrivr VII,94
KIS Textual 1,vitrivr IV,vitrivr VIII,94
KIS Textual 1,vitrivr V,vitrivr VI,60
KIS Textual 1,vitrivr V,vitrivr VII,81
KIS Textual 1,vitrivr V,vitrivr VIII,60
KIS Textual 1,vitrivr VI,vitrivr VII,81
KIS Textual 1,vitrivr VI,vitrivr VIII,26
KIS Textual 1,vitrivr VII,vitrivr VIII,81
KIS Visual 2,siret I,siret II,58
KIS Visual 2,siret I,siret III,78
KIS Visual 2,siret I,siret IV,74
KIS Visual 2,siret I,siret V,63
KIS Visual 2,siret I,siret VI,58
KIS Visual 2,siret I,siret VII,0
KIS Visual 2,siret I,vitrivr I,50
KIS Visual 2,siret I,vitrivr II,0
KIS Visual 2,siret I,vitrivr III,0
KIS Visual 2,siret I,vitrivr IV,0
KIS Visual 2,siret I,vitrivr V,0
KIS Visual 2,siret I,vitrivr VI,0
KIS Visual 2,siret I,vitrivr VII,91
KIS Visual 2,siret I,vitrivr VIII,74
KIS Visual 2,siret II,siret III,78
KIS Visual 2,siret II,siret IV,74
KIS Visual 2,siret II,siret V,63
KIS Visual 2,siret II,siret VI,58
KIS Visual 2,siret II,siret VII,58
KIS Visual 2,siret II,vitrivr I,58
KIS Visual 2,siret II,vitrivr II,58
KIS Visual 2,siret II,vitrivr III,58
KIS Visual 2,siret II,vitrivr IV,58
KIS Visual 2,siret II,vitrivr V,58
KIS Visual 2,siret II,vitrivr VI,58
KIS Visual 2,siret II,vitrivr VII,91
KIS Visual 2,siret II,vitrivr VIII,74
KIS Visual 2,siret III,siret IV,74
KIS Visual 2,siret III,siret V,78
KIS Visual 2,siret III,siret VI,78
KIS Visual 2,siret III,siret VII,78
KIS Visual 2,siret III,vitrivr I,78
KIS Visual 2,siret III,vitrivr II,78
KIS Visual 2,siret III,vitrivr III,78
KIS Visual 2,siret III,vitrivr IV,78
KIS Visual 2,siret III,vitrivr V,78
KIS Visual 2,siret III,vitrivr VI,78
KIS Visual 2,siret III,vitrivr VII,91
KIS Visual 2,siret III,vitrivr VIII,78
KIS Visual 2,siret IV,siret V,74
KIS Visual 2,siret IV,siret VI,74
KIS Visual 2,siret IV,siret VII,74
KIS Visual 2,siret IV,vitrivr I,74
KIS Visual 2,siret IV,vitrivr II,74
KIS Visual 2,siret IV,vitrivr III,74
KIS Visual 2,siret IV,vitrivr IV,74
KIS Visual 2,siret IV,vitrivr V,74
KIS Visual 2,siret IV,vitrivr VI,74
KIS Visual 2,siret IV,vitrivr VII,91
KIS Visual 2,siret IV,vitrivr VIII,74
KIS Visual 2,siret V,siret VI,63
KIS Visual 2,siret V,siret VII,63
KIS Visual 2,siret V,vitrivr I,63
KIS Visual 2,siret V,vitrivr II,63
KIS Visual 2,siret V,vitrivr III,63
KIS Visual 2,siret V,vitrivr IV,63
KIS Visual 2,siret V,vitrivr V,63
KIS Visual 2,siret V,vitrivr VI,63
KIS Visual 2,siret V,vitrivr VII,91
KIS Visual 2,siret V,vitrivr VIII,64
KIS Visual 2,siret VI,siret VII,58
KIS Visual 2,siret VI,vitrivr I,58
KIS Visual 2,siret VI,vitrivr II,58
KIS Visual 2,siret VI,vitrivr III,58
KIS Visual 2,siret VI,vitrivr IV,58
KIS Visual 2,siret VI,vitrivr V,58
KIS Visual 2,siret VI,vitrivr VI,58
KIS Visual 2,siret VI,vitrivr VII,91
KIS Visual 2,siret VI,vitrivr VIII,74
KIS Visual 2,siret VII,vitrivr I,50
KIS Visual 2,siret VII,vitrivr II,0
KIS Visual 2,siret VII,vitrivr III,0
KIS Visual 2,siret VII,vitrivr IV,0
KIS Visual 2,siret VII,vitrivr V,0
KIS Visual 2,siret VII,vitrivr VI,0
KIS Visual 2,siret VII,vitrivr VII,91
KIS Visual 2,siret VII,vitrivr VIII,74
KIS Visual 2,vitrivr I,vitrivr II,50
KIS Visual 2,vitrivr I,vitrivr III,50
KIS Visual 2,vitrivr I,vitrivr IV,50
KIS Visual 2,vitrivr I,vitrivr V,50
KIS Visual 2,vitrivr I,vitrivr VI,50
KIS Visual 2,vitrivr I,vitrivr VII,91
KIS Visual 2,vitrivr I,vitrivr VIII,74
KIS Visual 2,vitrivr II,vitrivr III,0
KIS Visual 2,vitrivr II,vitrivr IV,0
KIS Visual 2,vitrivr II,vitrivr V,0
KIS Visual 2,vitrivr II,vitrivr VI,0
KIS Visual 2,vitrivr II,vitrivr VII,91
KIS Visual 2,vitrivr II,vitrivr VIII,74
KIS Visual 2,vitrivr III,vitrivr IV,0
KIS Visual 2,vitrivr III,vitrivr V,0
KIS Visual 2,vitrivr III,vitrivr VI,0
KIS Visual 2,vitrivr III,vitrivr VII,91
KIS Visual 2,vitrivr III,vitrivr VIII,74
KIS Visual 2,vitrivr IV,vitrivr V,0
KIS Visual 2,vitrivr IV,vitrivr VI,0
KIS Visual 2,vitrivr IV,vitrivr VII,91
KIS Visual 2,vitrivr IV,vitrivr VIII,74
KIS Visual 2,vitrivr V,vitrivr VI,0
KIS Visual 2,vitrivr V,vitrivr VII,91
KIS Visual 2,vitrivr V,vitrivr VIII,74
KIS Visual 2,vitrivr VI,vitrivr VII,91
KIS Visual 2,vitrivr VI,vitrivr VIII,74
KIS Visual 2,vitrivr VII,vitrivr VIII,91
KIS Textual 2,siret I,siret II,97
KIS Textual 2,siret I,siret III,94
KIS Textual 2,siret I,siret IV,84
KIS Textual 2,siret I,siret V,94
KIS Textual 2,siret I,siret VI,94
KIS Textual 2,siret I,siret VII,96
KIS Textual 2,siret I,vitrivr I,94
KIS Textual 2,siret I,vitrivr II,94
KIS Textual 2,siret I,vitrivr III,94
KIS Textual 2,siret I,vitrivr IV,94
KIS Textual 2,siret I,vitrivr V,94
KIS Textual 2,siret I,vitrivr VI,94
KIS Textual 2,siret I,vitrivr VII,94
KIS Textual 2,siret I,vitrivr VIII,94
KIS Textual 2,siret II,siret III,97
KIS Textual 2,siret II,siret IV,97
KIS Textual 2,siret II,siret V,97
KIS Textual 2,siret II,siret VI,97
KIS Textual 2,siret II,siret VII,97
KIS Textual 2,siret II,vitrivr I,97
KIS Textual 2,siret II,vitrivr II,97
KIS Textual 2,siret II,vitrivr III,97
KIS Textual 2,siret II,vitrivr IV,97
KIS Textual 2,siret II,vitrivr V,97
KIS Textual 2,siret II,vitrivr VI,97
KIS Textual 2,siret II,vitrivr VII,97
KIS Textual 2,siret II,vitrivr VIII,97
KIS Textual 2,siret III,siret IV,84
KIS Textual 2,siret III,siret V,85
KIS Textual 2,siret III,siret VI,85
KIS Textual 2,siret III,siret VII,96
KIS Textual 2,siret III,vitrivr I,86
KIS Textual 2,siret III,vitrivr II,75
KIS Textual 2,siret III,vitrivr III,85
KIS Textual 2,siret III,vitrivr IV,91
KIS Textual 2,siret III,vitrivr V,85
KIS Textual 2,siret III,vitrivr VI,85
KIS Textual 2,siret III,vitrivr VII,85
KIS Textual 2,siret III,vitrivr VIII,85
KIS Textual 2,siret IV,siret V,84
KIS Textual 2,siret IV,siret VI,84
KIS Textual 2,siret IV,siret VII,96
KIS Textual 2,siret IV,vitrivr I,84
KIS Textual 2,siret IV,vitrivr II,84
KIS Textual 2,siret IV,vitrivr III,84
KIS Textual 2,siret IV,vitrivr IV,84
KIS Textual 2,siret IV,vitrivr V,84
KIS Textual 2,siret IV,vitrivr VI,84
KIS Textual 2,siret IV,vitrivr VII,84
KIS Textual 2,siret IV,vitrivr VIII,84
KIS Textual 2,siret V,siret VI,85
KIS Textual 2,siret V,siret VII,96
KIS Textual 2,siret V,vitrivr I,86
KIS Textual 2,siret V,vitrivr II,73
KIS Textual 2,siret V,vitrivr III,84
KIS Textual 2,siret V,vitrivr IV,91
KIS Textual 2,siret V,vitrivr V,83
KIS Textual 2,siret V,vitrivr VI,83
KIS Textual 2,siret V,vitrivr VII,83
KIS Textual 2,siret V,vitrivr VIII,83
KIS Textual 2,siret VI,siret VII,96
KIS Textual 2,siret VI,vitrivr I,86
KIS Textual 2,siret VI,vitrivr II,75
KIS Textual 2,siret VI,vitrivr III,85
KIS Textual 2,siret VI,vitrivr IV,91
KIS Textual 2,siret VI,vitrivr V,85
KIS Textual 2,siret VI,vitrivr VI,85
KIS Textual 2,siret VI,vitrivr VII,85
KIS Textual 2,siret VI,vitrivr VIII,85
KIS Textual 2,siret VII,vitrivr I,96
KIS Textual 2,siret VII,vitrivr II,96
KIS Textual 2,siret VII,vitrivr III,96
KIS Textual 2,siret VII,vitrivr IV,96
KIS Textual 2,siret VII,vitrivr V,96
KIS Textual 2,siret VII,vitrivr VI,96
KIS Textual 2,siret VII,vitrivr VII,96
KIS Textual 2,siret VII,vitrivr VIII,96
KIS Textual 2,vitrivr I,vitrivr II,76
KIS Textual 2,vitrivr I,vitrivr III,86
KIS Textual 2,vitrivr I,vitrivr IV,91
KIS Textual 2,vitrivr I,vitrivr V,86
KIS Textual 2,vitrivr I,vitrivr VI,86
KIS Textual 2,vitrivr I,vitrivr VII,86
KIS Textual 2,vitrivr I,vitrivr VIII,86
KIS Textual 2,vitrivr II,vitrivr III,74
KIS Textual 2,vitrivr II,vitrivr IV,91
KIS Textual 2,vitrivr II,vitrivr V,58
KIS Textual 2,vitrivr II,vitrivr VI,58
KIS Textual 2,vitrivr II,vitrivr VII,58
KIS Textual 2,vitrivr II,vitrivr VIII,58
KIS Textual 2,vitrivr III,vitrivr IV,91
KIS Textual 2,vitrivr III,vitrivr V,84
KIS Textual 2,vitrivr III,vitrivr VI,84
KIS Textual 2,vitrivr III,vitrivr VII,84
KIS Textual 2,vitrivr III,vitrivr VIII,84
KIS Textual 2,vitrivr IV,vitrivr V,91
KIS Textual 2,vitrivr IV,vitrivr VI,91
KIS Textual 2,vitrivr IV,vitrivr VII,91
KIS Textual 2,vitrivr IV,vitrivr VIII,91
KIS Textual 2,vitrivr V,vitrivr VI,75
KIS Textual 2,vitrivr V,vitrivr VII,74
KIS Textual 2,vitrivr V,vitrivr VIII,54
KIS Textual 2,vitrivr VI,vitrivr VII,75
KIS Textual 2,vitrivr VI,vitrivr VIII,55
KIS Textual 2,vitrivr VII,vitrivr VIII,12
KIS Visual 3,siret I,siret II,89
KIS Visual 3,siret I,siret III,89
KIS Visual 3,siret I,siret IV,89
KIS Visual 3,siret I,siret V,89
KIS Visual 3,siret I,siret VI,89
KIS Visual 3,siret I,siret VII,89
KIS Visual 3,siret I,vitrivr I,89
KIS Visual 3,siret I,vitrivr II,89
KIS Visual 3,siret I,vitrivr III,90
KIS Visual 3,siret I,vitrivr IV,79
KIS Visual 3,siret I,vitrivr V,89
KIS Visual 3,siret I,vitrivr VI,89
KIS Visual 3,siret I,vitrivr VII,89
KIS Visual 3,siret I,vitrivr VIII,89
KIS Visual 3,siret II,siret III,78
KIS Visual 3,siret II,siret IV,88
KIS Visual 3,siret II,siret V,52
KIS Visual 3,siret II,siret VI,60
KIS Visual 3,siret II,siret VII,0
KIS Visual 3,siret II,vitrivr I,87
KIS Visual 3,siret II,vitrivr II,89
KIS Visual 3,siret II,vitrivr III,90
KIS Visual 3,siret II,vitrivr IV,79
KIS Visual 3,siret II,vitrivr V,87
KIS Visual 3,siret II,vitrivr VI,79
KIS Visual 3,siret II,vitrivr VII,82
KIS Visual 3,siret II,vitrivr VIII,88
KIS Visual 3,siret III,siret IV,88
KIS Visual 3,siret III,siret V,78
KIS Visual 3,siret III,siret VI,78
KIS Visual 3,siret III,siret VII,78
KIS Visual 3,siret III,vitrivr I,87
KIS Visual 3,siret III,vitrivr II,89
KIS Visual 3,siret III,vitrivr III,90
KIS Visual 3,siret III,vitrivr IV,79
KIS Visual 3,siret III,vitrivr V,87
KIS Visual 3,siret III,vitrivr VI,79
KIS Visual 3,siret III,vitrivr VII,82
KIS Visual 3,siret III,vitrivr VIII,88
KIS Visual 3,siret IV,siret V,88
KIS Visual 3,siret IV,siret VI,88
KIS Visual 3,siret IV,siret VII,88
KIS Visual 3,siret IV,vitrivr I,88
KIS Visual 3,siret IV,vitrivr II,89
KIS Visual 3,siret IV,vitrivr III,90
KIS Visual 3,siret IV,vitrivr IV,79
KIS Visual 3,siret IV,vitrivr V,88
KIS Visual 3,siret IV,vitrivr VI,88
KIS Visual 3,siret IV,vitrivr VII,88
KIS Visual 3,siret IV,vitrivr VIII,88
KIS Visual 3,siret V,siret VI,60
KIS Visual 3,siret V,siret VII,52
KIS Visual 3,siret V,vitrivr I,87
KIS Visual 3,siret V,vitrivr II,89
KIS Visual 3,siret V,vitrivr III,90
KIS Visual 3,siret V,vitrivr IV,79
KIS Visual 3,siret V,vitrivr V,87
KIS Visual 3,siret V,vitrivr VI,79
KIS Visual 3,siret V,vitrivr VII,82
KIS Visual 3,siret V,vitrivr VIII,88
KIS Visual 3,siret VI,siret VII,60
KIS Visual 3,siret VI,vitrivr I,87
KIS Visual 3,siret VI,vitrivr II,89
KIS Visual 3,siret VI,vitrivr III,90
KIS Visual 3,siret VI,vitrivr IV,79
KIS Visual 3,siret VI,vitrivr V,87
KIS Visual 3,siret VI,vitrivr VI,79
KIS Visual 3,siret VI,vitrivr VII,82
KIS Visual 3,siret VI,vitrivr VIII,88
KIS Visual 3,siret VII,vitrivr I,87
KIS Visual 3,siret VII,vitrivr II,89
KIS Visual 3,siret VII,vitrivr III,90
KIS Visual 3,siret VII,vitrivr IV,79
KIS Visual 3,siret VII,vitrivr V,87
KIS Visual 3,siret VII,vitrivr VI,79
KIS Visual 3,siret VII,vitrivr VII,82
KIS Visual 3,siret VII,vitrivr VIII,88
KIS Visual 3,vitrivr I,vitrivr II,89
KIS Visual 3,vitrivr I,vitrivr III,90
KIS Visual 3,vitrivr I,vitrivr IV,79
KIS Visual 3,vitrivr I,vitrivr V,87
KIS Visual 3,vitrivr I,vitrivr VI,87
KIS Visual 3,vitrivr I,vitrivr VII,87
KIS Visual 3,vitrivr I,vitrivr VIII,88
KIS Visual 3,vitrivr II,vitrivr III,90
KIS Visual 3,vitrivr II,vitrivr IV,79
KIS Visual 3,vitrivr II,vitrivr V,89
KIS Visual 3,vitrivr II,vitrivr VI,89
KIS Visual 3,vitrivr II,vitrivr VII,89
KIS Visual 3,vitrivr II,vitrivr VIII,89
KIS Visual 3,vitrivr III,vitrivr IV,80
KIS Visual 3,vitrivr III,vitrivr V,90
KIS Visual 3,vitrivr III,vitrivr VI,90
KIS Visual 3,vitrivr III,vitrivr VII,90
KIS Visual 3,vitrivr III,vitrivr VIII,90
KIS Visual 3,vitrivr IV,vitrivr V,79
KIS Visual 3,vitrivr IV,vitrivr VI,79
KIS Visual 3,vitrivr IV,vitrivr VII,79
KIS Visual 3,vitrivr IV,vitrivr VIII,79
KIS Visual 3,vitrivr V,vitrivr VI,87
KIS Visual 3,vitrivr V,vitrivr VII,87
KIS Visual 3,vitrivr V,vitrivr VIII,88
KIS Visual 3,vitrivr VI,vitrivr VII,82
KIS Visual 3,vitrivr VI,vitrivr VIII,88
KIS Visual 3,vitrivr VII,vitrivr VIII,88
KIS Textual 3,siret I,siret II,89
KIS Textual 3,siret I,siret III,66
KIS Textual 3,siret I,siret IV,82
KIS Textual 3,siret I,siret V,52
KIS Textual 3,siret I,siret VI,93
KIS Textual 3,siret I,siret VII,64
KIS Textual 3,siret I,vitrivr I,51
KIS Textual 3,siret I,vitrivr II,51
KIS Textual 3,siret I,vitrivr III,44
KIS Textual 3,siret I,vitrivr IV,51
KIS Textual 3,siret I,vitrivr V,51
KIS Textual 3,siret I,vitrivr VI,51
KIS Textual 3,siret I,vitrivr VII,51
KIS Textual 3,siret I,vitrivr VIII,51
KIS Textual 3,siret II,siret III,69
KIS Textual 3,siret II,siret IV,82
KIS Textual 3,siret II,siret V,89
KIS Textual 3,siret II,siret VI,93
KIS Textual 3,siret II,siret VII,89
KIS Textual 3,siret II,vitrivr I,89
KIS Textual 3,siret II,vitrivr II,89
KIS Textual 3,siret II,vitrivr III,89
KIS Textual 3,siret II,vitrivr IV,89
KIS Textual 3,siret II,vitrivr V,89
KIS Textual 3,siret II,vitrivr VI,89
KIS Textual 3,siret II,vitrivr VII,89
KIS Textual 3,siret II,vitrivr VIII,89
KIS Textual 3,siret III,siret IV,72
KIS Textual 3,siret III,siret V,66
KIS Textual 3,siret III,siret VI,83
KIS Textual 3,siret III,siret VII,46
KIS Textual 3,siret III,vitrivr I,66
KIS Textual 3,siret III,vitrivr II,66
KIS Textual 3,siret III,vitrivr III,66
KIS Textual 3,siret III,vitrivr IV,66
KIS Textual 3,siret III,vitrivr V,66
KIS Textual 3,siret III,vitrivr VI,66
KIS Textual 3,siret III,vitrivr VII,66
KIS Textual 3,siret III,vitrivr VIII,66
KIS Textual 3,siret IV,siret V,82
KIS Textual 3,siret IV,siret VI,83
KIS Textual 3,siret IV,siret VII,82
KIS Textual 3,siret IV,vitrivr I,82
KIS Textual 3,siret IV,vitrivr II,82
KIS Textual 3,siret IV,vitrivr III,82
KIS Textual 3,siret IV,vitrivr IV,82
KIS Textual 3,siret IV,vitrivr V,82
KIS Textual 3,siret IV,vitrivr VI,82
KIS Textual 3,siret IV,vitrivr VII,82
KIS Textual 3,siret IV,vitrivr VIII,82
KIS Textual 3,siret V,siret VI,93
KIS Textual 3,siret V,siret VII,64
KIS Textual 3,siret V,vitrivr I,72
KIS Textual 3,siret V,vitrivr II,72
KIS Textual 3,siret V,vitrivr III,64
KIS Textual 3,siret V,vitrivr IV,72
KIS Textual 3,siret V,vitrivr V,72
KIS Textual 3,siret V,vitrivr VI,72
KIS Textual 3,siret V,vitrivr VII,72
KIS Textual 3,siret V,vitrivr VIII,72
KIS Textual 3,siret VI,siret VII,93
KIS Textual 3,siret VI,vitrivr I,93
KIS Textual 3,siret VI,vitrivr II,93
KIS Textual 3,siret VI,vitrivr III,93
KIS Textual 3,siret VI,vitrivr IV,93
KIS Textual 3,siret VI,vitrivr V,93
KIS Textual 3,siret VI,vitrivr VI,93
KIS Textual 3,siret VI,vitrivr VII,93
KIS Textual 3,siret VI,vitrivr VIII,93
KIS Textual 3,siret VII,vitrivr I,64
KIS Textual 3,siret VII,vitrivr II,64
KIS Textual 3,siret VII,vitrivr III,64
KIS Textual 3,siret VII,vitrivr IV,64
KIS Textual 3,siret VII,vitrivr V,64
KIS Textual 3,siret VII,vitrivr VI,64
KIS Textual 3,siret VII,vitrivr VII,64
KIS Textual 3,siret VII,vitrivr VIII,64
KIS Textual 3,vitrivr I,vitrivr II,0
KIS Textual 3,vitrivr I,vitrivr III,64
